BattleType,ARandomTot,DRandomTot,EndingTot,Outcome,AWon,Supplies,AGenRank,AGenARBonus,AGenArmorBonus,AGenWeaponBonus,AGenFollowerBonus,AGenBannerBonus,AGenTrinketBonus,AAdvancedCombatDeck,ABeginARUnitBonus,ABeginMeleeBonus,ABeginRangedBonus,ABeginCavalryBonus,ABeginSoldiers,AEndARUnitBonus,AEndMeleeBonus,AEndRangedBonus,AEndCavalryBonus,AEndSoldiers,ARebelRivermenMercenaries,ARebelRangerOfForest,ARebelCourierRiders,ARebelMountainMen,ARebelAxemenOfVale,ARebelValeCavalry,ARebelLightWoodmen,ARebelWoodsmenArchers,ARebelRidersOfWood,ALightWoodmen,AGuardOfBeladimir,ABeladimirSpearmen,AWoodsmenArchers,AArchersOfBeladimir,ACoastalGuards,ARidersOfWood,ABeladimirCavalry,APlainsCavalry,AMountainMen,ALerastirShieldbearers,ALerastirSpears,APikesOfLerastir,AAxemenOfVale,ABowmenOfLerastir,ACrossbowmenOfSouth,AValeCavalry,ATerritoryGuardsmen,ALerastirPalaceCavalry,AShieldmaidensOfNorth,AMenoriadSpearmen,AAxemenOfWastes,AMenoriadArchers,ARangersOfForest,ACourierRiders,AMenoriadCavalry,ARoyalCavalry,AHuntersOfNorth,ARivermenMercenaries,ATotUnits,ATotReinforcements,AUpgrades,AUnitCas,ASoldierCas,AEndGenState,ATreasureReceived,AFaction,AShips,ARams,ASiegeTowers,ACatapults,MonType,MonCoinVal,MonARValue
Monster,42,71,6,Close Victory,1,None,8,1,1,0,0,0,0,0,26,16,4,6,22,12,6,0,6,15,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,None,1,7,Unharmed,None,Beladimir,None,None,None,None,Empty,0,0
Monster,59,59,61,Decisive Victory,1,None,2,2,1,0,0,1,0,0,117,59,36,22,63,89,45,28,16,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,5,0,0,3,1,0,0,0,0,0,0,0,0,0,0,16,4,None,1,12,Unharmed,None,Lerastir,None,None,None,None,Demon,700,60
Monster,40,55,-2,Draw,0,None,9,0,0,0,0,0,0,0,64,24,32,8,32,41,19,14,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,2,0,0,0,0,0,8,2,None,2,15,Unharmed,None,Menoriad,None,None,None,None,Demon,700,60
Monster,62,57,5,Close Victory,1,None,4,4,2,1,0,1,0,0,52,25,9,18,43,10,4,0,6,27,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,None,2,16,Unharmed,None,Beladimir,None,None,None,None,Demon,700,60
Monster,65,51,84,Decisive Victory,1,None,7,1,0,0,0,1,0,1,102,29,45,28,74,72,23,27,22,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,5,2,1,3,3,1,20,0,None,1,11,Unharmed,None,Menoriad,None,None,None,None,Troll,400,40
Monster,61,76,-11,Valiant Defeat,0,None,3,2,1,0,0,1,0,0,69,38,16,15,42,32,16,8,8,18,1,0,1,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,None,3,24,Unharmed,None,Rebel,None,None,None,None,Dragon,1400,70
Monster,47,65,83,Decisive Victory,1,None,1,1,0,0,0,1,0,1,149,77,36,36,65,93,49,24,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,5,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,17,5,None,3,25,Unharmed,None,Lerastir,None,None,None,None,Giant,500,50
Monster,54,47,35,Decisive Victory,1,None,6,0,0,0,0,0,0,0,92,35,32,25,64,80,30,28,22,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,1,1,0,3,2,1,17,1,None,1,9,Wounded,None,Menoriad,None,None,None,None,Dragon,1400,70
Monster,52,34,114,Decisive Victory,1,None,7,1,0,1,0,0,0,1,128,31,41,56,62,117,31,36,50,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,4,2,1,0,18,4,None,1,7,Unharmed,None,Menoriad,None,None,None,None,Troll,400,40
Monster,53,63,-22,Crushing Defeat,0,None,1,4,2,1,0,1,0,1,33,7,4,22,13,12,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,1,None,2,17,Unharmed,None,Lerastir,None,None,None,None,Giant,500,50
Monster,32,46,27,Decisive Victory,1,None,3,2,1,0,0,1,0,1,106,46,24,36,33,70,20,20,30,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,9,5,None,2,18,Unharmed,None,Lerastir,None,None,None,None,Dragon,1400,70
