BattleType,ARandomTot,DRandomTot,EndingTot,Outcome,AWon,Supplies,AGenRank,AGenARBonus,AGenArmorBonus,AGenWeaponBonus,AGenFollowerBonus,AGenBannerBonus,AGenTrinketBonus,AAdvancedCombatDeck,ABeginARUnitBonus,ABeginMeleeBonus,ABeginRangedBonus,ABeginCavalryBonus,ABeginSoldiers,AEndARUnitBonus,AEndMeleeBonus,AEndRangedBonus,AEndCavalryBonus,AEndSoldiers,ARebelRivermenMercenaries,ARebelRangerOfForest,ARebelCourierRiders,ARebelMountainMen,ARebelAxemenOfVale,ARebelValeCavalry,ARebelLightWoodmen,ARebelWoodsmenArchers,ARebelRidersOfWood,ALightWoodmen,AGuardOfBeladimir,ABeladimirSpearmen,AWoodsmenArchers,AArchersOfBeladimir,ACoastalGuards,ARidersOfWood,ABeladimirCavalry,APlainsCavalry,AMountainMen,ALerastirShieldbearers,ALerastirSpears,APikesOfLerastir,AAxemenOfVale,ABowmenOfLerastir,ACrossbowmenOfSouth,AValeCavalry,ATerritoryGuardsmen,ALerastirPalaceCavalry,AShieldmaidensOfNorth,AMenoriadSpearmen,AAxemenOfWastes,AMenoriadArchers,ARangersOfForest,ACourierRiders,AMenoriadCavalry,ARoyalCavalry,AHuntersOfNorth,ARivermenMercenaries,ATotUnits,ATotReinforcements,AUpgrades,AUnitCas,ASoldierCas,AEndGenState,ATreasureReceived,AFaction,AShips,ARams,ASiegeTowers,ACatapults,DGenRank,DGenTotARBonus,DGenArmorBonus,DGenWeaponBonus,DGenFollowerBonus,DGenBannerBonus,DGenTinketBonus,DAdvancedCombatDeck,DBeginARUnitBonus,DBeginMeleeBonus,DBeginRangedBonus,DBeginCavalryBonus,DBeginSoldiers,DEndARUnitBonus,DEndMeleeBonus,DEndRangedBonus,DEndCavalryBonus,DEndSoldiers,DRebelRivermenMercenaries,DRebelRangerOfForest,DRebelCourierRiders,DRebelMountainMen,DRebelAxemenOfVale,DRebelValeCavalry,DLightWoodmen,DRebelWoodsmenArchers,DRebelRidersOfWood,DLightWoodmen,DGuardOfBeladimir,DBeladimirSpearmen,DWoodsmenArchers,DArchersOfBeladimir,DCoastalGuard,DRidersOfWood,DBeladimirCavalry,DPlainsCavalry,DMountainMen,DLerastirShieldbearers,DLerastirSpearmen,DPikesOfLerastir,DAxemenOfVale,DBowmenOfLerastir,DCrossbowmenOfSouth,DValeCavalry,DTerritoryGuardsmen,DLerastirPalaceCavalry,DShieldmaidensOfNorth,DMenoriadSpearmen,DAxemenOfWastes,DMenoriadArchers,DRangerOfForest,DCourierRiders,DMenoriadCavalry,DRoyalCavalry,DHuntersOfNorth,DRivermenMercenaries,DTotUnits,DTotReinforcements,DUpgrades,DUnitCas,DSoldierCas,DEndGenState,DTreasureReceived,DFaction,DShips,DTownLevel
Naval,58,33,54,Decisive Victory,1,None,7,2,0,0,0,1,1,1,76,22,19,35,49,61,18,15,28,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,3,1,3,1,1,14,1,2,0,7,Wounded,0,Menoriad,10,None,None,None,1,1,0,0,0,1,0,0,66,32,22,12,24,36,12,12,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,3,1,1,14,Unharmed,1,Lerastir,1,None
Naval,58,61,85,Decisive Victory,1,None,5,1,0,0,0,1,0,0,110,56,20,34,45,90,42,20,28,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,12,4,4,0,4,Wounded,1,Lerastir,6,None,None,None,3,2,1,0,0,1,0,0,66,28,18,20,50,18,6,6,6,24,0,3,1,0,4,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,26,Unharmed,0,Rebel,2,None
Naval,35,60,61,Decisive Victory,1,None,4,2,1,0,0,1,0,1,56,18,27,11,38,45,18,19,8,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,1,1,1,0,1,0,10,1,1,0,4,Wounded,0,Menoriad,10,None,None,None,7,1,0,1,0,0,0,1,21,11,0,10,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,Unharmed,1,Beladimir,7,None
Naval,75,50,-27,Crushing Defeat,0,None,5,0,0,0,0,0,0,1,34,18,8,8,8,34,18,8,8,8,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,Unharmed,1,Beladimir,1,None,None,None,9,0,0,0,0,0,0,0,40,8,16,16,35,23,4,6,13,29,1,2,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,Unharmed,0,Rebel,7,None
Naval,48,64,68,Decisive Victory,1,None,10,4,0,2,0,2,0,1,122,40,46,36,55,102,40,36,26,47,2,1,2,0,2,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,2,0,8,Unharmed,0,Rebel,6,None,None,None,5,0,0,0,0,0,0,1,92,38,30,24,27,66,26,20,20,15,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,0,12,Unharmed,1,Rebel,2,None
Naval,30,49,93,Decisive Victory,1,None,5,1,1,0,0,0,0,0,162,96,46,20,80,127,67,40,20,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,20,5,6,0,10,Unharmed,1,Lerastir,5,None,None,None,6,1,0,0,0,1,0,1,105,66,22,17,73,45,18,16,11,36,3,1,0,6,3,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,1,4,37,Unharmed,1,Rebel,4,None
Naval,48,42,-6,Close Defeat,0,None,1,1,0,0,0,1,0,0,88,31,34,23,23,71,25,26,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,6,5,0,0,9,Unharmed,1,Menoriad,6,None,None,None,3,2,0,0,0,1,1,0,87,30,20,37,23,78,24,20,34,18,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,1,0,5,Unharmed,1,Rebel,8,None
Naval,40,51,38,Decisive Victory,1,None,6,2,0,2,0,0,0,0,96,33,28,35,43,83,23,28,32,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,1,2,2,0,0,12,3,2,0,7,Unharmed,1,Menoriad,7,None,None,None,3,2,0,0,0,1,1,0,77,21,18,38,38,49,12,13,24,26,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,1,0,12,Unharmed,1,Beladimir,5,None
Naval,60,50,54,Decisive Victory,1,None,5,3,1,0,0,2,0,0,82,39,21,22,23,65,27,16,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,6,4,1,0,4,Unharmed,0,Menoriad,4,None,None,None,10,2,1,0,0,1,0,0,46,13,18,15,18,30,8,14,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,5,2,0,0,8,Unharmed,1,Menoriad,5,None
Naval,44,55,-131,Crushing Defeat,0,None,9,0,0,0,0,0,0,1,32,13,15,4,16,12,4,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,4,1,0,0,8,Wounded,1,Menoriad,7,None,None,None,7,2,0,0,0,2,0,0,106,30,33,43,35,96,30,29,37,32,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,1,0,3,Unharmed,0,Beladimir,9,None
