BattleType,ARandomTot,DRandomTot,EndingTot,Outcome,AWon,Supplies,AGenRank,AGenARBonus,AGenArmorBonus,AGenWeaponBonus,AGenFollowerBonus,AGenBannerBonus,AGenTrinketBonus,AAdvancedCombatDeck,ABeginARUnitBonus,ABeginMeleeBonus,ABeginRangedBonus,ABeginCavalryBonus,ABeginSoldiers,AEndARUnitBonus,AEndMeleeBonus,AEndRangedBonus,AEndCavalryBonus,AEndSoldiers,ARebelRivermenMercenaries,ARebelRangerOfForest,ARebelCourierRiders,ARebelMountainMen,ARebelAxemenOfVale,ARebelValeCavalry,ARebelLightWoodmen,ARebelWoodsmenArchers,ARebelRidersOfWood,ALightWoodmen,AGuardOfBeladimir,ABeladimirSpearmen,AWoodsmenArchers,AArchersOfBeladimir,ACoastalGuards,ARidersOfWood,ABeladimirCavalry,APlainsCavalry,AMountainMen,ALerastirShieldbearers,ALerastirSpears,APikesOfLerastir,AAxemenOfVale,ABowmenOfLerastir,ACrossbowmenOfSouth,AValeCavalry,ATerritoryGuardsmen,ALerastirPalaceCavalry,AShieldmaidensOfNorth,AMenoriadSpearmen,AAxemenOfWastes,AMenoriadArchers,ARangersOfForest,ACourierRiders,AMenoriadCavalry,ARoyalCavalry,AHuntersOfNorth,ARivermenMercenaries,ATotUnits,ATotReinforcements,AUpgrades,AUnitCas,ASoldierCas,AEndGenState,ATreasureReceived,AFaction,AShips,ARams,ASiegeTowers,ACatapults,DGenRank,DGenTotARBonus,DGenArmorBonus,DGenWeaponBonus,DGenFollowerBonus,DGenBannerBonus,DGenTinketBonus,DAdvancedCombatDeck,DBeginARUnitBonus,DBeginMeleeBonus,DBeginRangedBonus,DBeginCavalryBonus,DBeginSoldiers,DEndARUnitBonus,DEndMeleeBonus,DEndRangedBonus,DEndCavalryBonus,DEndSoldiers,DRebelRivermenMercenaries,DRebelRangerOfForest,DRebelCourierRiders,DRebelMountainMen,DRebelAxemenOfVale,DRebelValeCavalry,DLightWoodmen,DRebelWoodsmenArchers,DRebelRidersOfWood,DLightWoodmen,DGuardOfBeladimir,DBeladimirSpearmen,DWoodsmenArchers,DArchersOfBeladimir,DCoastalGuard,DRidersOfWood,DBeladimirCavalry,DPlainsCavalry,DMountainMen,DLerastirShieldbearers,DLerastirSpearmen,DPikesOfLerastir,DAxemenOfVale,DBowmenOfLerastir,DCrossbowmenOfSouth,DValeCavalry,DTerritoryGuardsmen,DLerastirPalaceCavalry,DShieldmaidensOfNorth,DMenoriadSpearmen,DAxemenOfWastes,DMenoriadArchers,DRangerOfForest,DCourierRiders,DMenoriadCavalry,DRoyalCavalry,DHuntersOfNorth,DRivermenMercenaries,DTotUnits,DTotReinforcements,DUpgrades,DUnitCas,DSoldierCas,DEndGenState,DTreasureReceived,DFaction,DShips,DTownLevel
Raid,56,53,158,Decisive Victory,1,7,6,1,0,0,0,1,0,1,134,76,30,28,77,108,50,30,28,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,4,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,20,3,0,0,7,Unharmed,1,Lerastir,None,None,None,None,6,0,0,0,0,0,0,1,28,8,8,12,3,28,8,8,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,Unharmed,1,Menoriad,None,Wooden Wall w/ Moat
Raid,62,58,-75,Crushing Defeat,0,5,2,2,0,0,0,1,1,1,66,24,16,26,49,28,4,8,16,30,1,0,3,0,2,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,19,Wounded,0,Rebel,None,None,None,None,3,4,0,1,1,2,1,1,110,35,24,51,34,99,29,24,46,32,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,0,2,Unharmed,0,Beladimir,None,None
Raid,59,63,75,Decisive Victory,1,6,6,2,1,0,0,1,0,1,118,45,45,28,58,94,37,35,22,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,0,2,1,3,15,4,3,0,8,Slain,0,Menoriad,None,None,None,None,7,2,0,0,0,1,1,1,66,34,14,18,55,18,8,4,6,34,3,1,1,0,3,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,2,21,Unharmed,0,Rebel,None,Wooden Wall
Raid,39,39,132,Decisive Victory,1,8,3,1,0,0,0,0,1,1,115,44,42,29,68,98,36,33,29,61,0,0,0,0,0,0,0,0,0,5,0,2,2,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,7,Unharmed,0,Beladimir,None,None,None,None,9,1,0,0,0,1,0,0,14,0,0,14,9,14,0,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,Wounded,0,Beladimir,None,Stone Wall
Raid,60,60,-78,Crushing Defeat,0,9,7,1,0,0,0,1,0,1,39,15,12,12,4,39,15,12,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,Unharmed,0,Lerastir,None,None,None,None,3,2,0,0,1,2,0,1,64,20,24,20,4,64,20,24,20,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,Unharmed,1,Beladimir,None,Stone Wall w/ Moat
Raid,37,47,26,Decisive Victory,1,7,4,2,0,0,0,1,1,0,106,55,35,16,66,92,46,30,16,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,3,0,2,0,1,5,17,2,3,0,6,Unharmed,0,Menoriad,None,None,None,None,9,2,0,0,0,2,0,0,74,36,14,24,37,34,18,8,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,10,2,1,1,20,Unharmed,0,Lerastir,None,Wooden Wall w/ Moat
Raid,53,60,-33,Crushing Defeat,0,7,3,1,0,0,0,1,0,1,78,30,28,20,27,48,16,16,16,15,0,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,12,Unharmed,0,Rebel,None,None,None,None,10,1,0,1,0,0,0,0,81,36,26,19,31,73,32,22,19,26,0,1,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,0,5,Wounded,0,Rebel,None,Wooden Wall w/ Moat
Raid,67,45,16,Heroic Victory,1,7,10,0,0,0,0,0,0,1,67,25,26,16,16,53,16,21,16,13,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,3,Unharmed,0,Beladimir,None,None,None,None,2,4,0,1,0,1,2,1,50,12,22,16,22,24,8,8,8,11,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,11,Unharmed,1,Beladimir,None,Wooden Wall w/ Moat
Raid,51,51,-63,Crushing Defeat,0,9,7,4,0,2,0,1,1,0,40,17,8,15,32,3,0,0,3,15,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,17,Unharmed,1,Beladimir,None,None,None,None,6,2,2,0,0,0,0,0,56,26,18,12,16,46,22,12,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,4,3,2,0,2,Unharmed,0,Menoriad,None,Stone Wall w/ Moat
Raid,52,51,19,Heroic Victory,1,6,6,1,0,0,0,1,0,1,96,48,25,23,31,83,35,25,23,24,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,2,0,7,Unharmed,1,Beladimir,None,None,None,None,3,1,0,0,0,1,0,1,80,25,33,22,45,38,17,13,8,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,2,1,1,1,12,2,1,1,15,Unharmed,0,Menoriad,None,Wooden Wall
