BattleType,ARandomTot,DRandomTot,EndingTot,Outcome,AWon,Supplies,AGenRank,AGenARBonus,AGenArmorBonus,AGenWeaponBonus,AGenFollowerBonus,AGenBannerBonus,AGenTrinketBonus,AAdvancedCombatDeck,ABeginARUnitBonus,ABeginMeleeBonus,ABeginRangedBonus,ABeginCavalryBonus,ABeginSoldiers,AEndARUnitBonus,AEndMeleeBonus,AEndRangedBonus,AEndCavalryBonus,AEndSoldiers,ARebelRivermenMercenaries,ARebelRangerOfForest,ARebelCourierRiders,ARebelMountainMen,ARebelAxemenOfVale,ARebelValeCavalry,ARebelLightWoodmen,ARebelWoodsmenArchers,ARebelRidersOfWood,ALightWoodmen,AGuardOfBeladimir,ABeladimirSpearmen,AWoodsmenArchers,AArchersOfBeladimir,ACoastalGuards,ARidersOfWood,ABeladimirCavalry,APlainsCavalry,AMountainMen,ALerastirShieldbearers,ALerastirSpears,APikesOfLerastir,AAxemenOfVale,ABowmenOfLerastir,ACrossbowmenOfSouth,AValeCavalry,ATerritoryGuardsmen,ALerastirPalaceCavalry,AShieldmaidensOfNorth,AMenoriadSpearmen,AAxemenOfWastes,AMenoriadArchers,ARangersOfForest,ACourierRiders,AMenoriadCavalry,ARoyalCavalry,AHuntersOfNorth,ARivermenMercenaries,ATotUnits,ATotReinforcements,AUpgrades,AUnitCas,ASoldierCas,AEndGenState,ATreasureReceived,AFaction,AShips,ARams,ASiegeTowers,ACatapults,DGenRank,DGenTotARBonus,DGenArmorBonus,DGenWeaponBonus,DGenFollowerBonus,DGenBannerBonus,DGenTinketBonus,DAdvancedCombatDeck,DBeginARUnitBonus,DBeginMeleeBonus,DBeginRangedBonus,DBeginCavalryBonus,DBeginSoldiers,DEndARUnitBonus,DEndMeleeBonus,DEndRangedBonus,DEndCavalryBonus,DEndSoldiers,DRebelRivermenMercenaries,DRebelRangerOfForest,DRebelCourierRiders,DRebelMountainMen,DRebelAxemenOfVale,DRebelValeCavalry,DLightWoodmen,DRebelWoodsmenArchers,DRebelRidersOfWood,DLightWoodmen,DGuardOfBeladimir,DBeladimirSpearmen,DWoodsmenArchers,DArchersOfBeladimir,DCoastalGuard,DRidersOfWood,DBeladimirCavalry,DPlainsCavalry,DMountainMen,DLerastirShieldbearers,DLerastirSpearmen,DPikesOfLerastir,DAxemenOfVale,DBowmenOfLerastir,DCrossbowmenOfSouth,DValeCavalry,DTerritoryGuardsmen,DLerastirPalaceCavalry,DShieldmaidensOfNorth,DMenoriadSpearmen,DAxemenOfWastes,DMenoriadArchers,DRangerOfForest,DCourierRiders,DMenoriadCavalry,DRoyalCavalry,DHuntersOfNorth,DRivermenMercenaries,DTotUnits,DTotReinforcements,DUpgrades,DUnitCas,DSoldierCas,DEndGenState,DTreasureReceived,DFaction,DShips,DTownLevel
Siege,59,53,-87,Crushing Defeat,0,6,6,1,0,0,0,1,0,0,84,31,16,37,38,50,23,12,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,1,2,0,2,11,3,1,0,13,Unharmed,0,Menoriad,None,1,0,1,8,2,0,1,0,1,0,0,132,48,36,48,60,114,36,36,42,50,1,2,4,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,2,0,10,Unharmed,1,Rebel,None,Wooden Wall
Siege,54,74,145,Decisive Victory,1,6,5,3,2,0,0,0,1,1,119,33,41,45,50,108,29,37,42,44,0,0,0,0,0,0,0,0,0,2,1,0,3,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,6,Unharmed,0,Beladimir,None,1,5,4,8,0,0,0,0,0,0,1,44,16,12,16,7,44,16,12,16,7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,Unharmed,0,Rebel,None,Wooden Wall
Siege,60,48,69,Decisive Victory,1,9,6,3,0,2,1,1,0,1,115,53,36,26,68,101,47,32,22,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,2,2,0,4,4,18,3,1,0,4,Wounded,0,Menoriad,None,0,4,3,4,3,0,2,0,1,0,0,67,26,20,21,15,48,16,16,16,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,8,Wounded,1,Beladimir,None,Stone Wall w/ Moat
Siege,58,41,69,Decisive Victory,1,7,4,1,0,0,0,1,0,1,82,38,20,24,51,62,30,8,24,45,3,2,0,3,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,6,Unharmed,1,Rebel,None,3,5,5,3,0,0,0,0,0,0,1,56,16,20,20,7,56,16,20,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,4,1,0,0,Unharmed,0,Menoriad,None,Wooden Wall w/ Moat
Siege,63,56,51,Decisive Victory,1,6,8,2,2,0,1,0,0,1,50,12,22,16,11,40,12,12,16,9,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,2,Unharmed,1,Rebel,None,1,0,4,7,0,0,0,0,0,0,0,24,10,4,10,21,0,0,0,0,5,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,16,Unharmed,0,Rebel,None,Wooden Wall
Siege,50,52,40,Decisive Victory,1,5,10,0,0,0,1,0,0,0,111,46,34,31,59,99,34,34,31,53,1,1,1,4,1,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,4,0,6,Unharmed,1,Rebel,None,5,3,5,2,1,0,0,0,0,1,0,113,42,37,34,70,38,12,12,14,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,2,2,2,2,1,2,19,2,1,3,29,Unharmed,1,Menoriad,None,None
Siege,53,47,-23,Crushing Defeat,0,6,4,2,0,0,0,1,1,0,85,37,32,16,32,48,16,16,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,8,4,0,1,20,Wounded,0,Lerastir,None,4,1,1,7,2,0,0,0,2,0,0,101,53,16,32,41,84,48,16,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,11,4,3,0,4,Unharmed,0,Lerastir,None,Wooden Wall
Siege,58,51,-104,Crushing Defeat,0,5,4,1,0,0,0,1,0,0,33,25,4,4,16,12,4,4,4,8,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,8,Unharmed,1,Beladimir,None,5,0,2,10,0,0,0,0,0,0,1,103,57,18,28,53,82,42,12,28,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,14,3,1,0,6,Slain,0,Lerastir,None,None
Siege,61,48,-26,Crushing Defeat,0,7,3,2,1,0,0,1,0,1,75,32,20,23,65,25,12,6,7,41,1,2,4,3,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,2,24,Unharmed,1,Rebel,None,3,4,5,10,1,0,0,0,1,0,1,99,45,25,29,74,76,31,21,24,65,0,0,0,0,0,0,0,0,0,6,1,2,2,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,4,0,9,Unharmed,0,Beladimir,None,Wooden Wall w/ Moat
Siege,58,58,11,Heroic Victory,1,6,8,4,2,1,0,1,0,1,113,60,30,23,54,99,50,30,19,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,0,1,1,0,2,2,14,4,3,0,6,Wounded,0,Menoriad,None,5,4,0,1,4,2,0,0,1,1,0,120,64,28,28,50,60,22,22,16,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,13,4,1,1,20,Unharmed,0,Lerastir,None,Wooden Wall
